drug1, drug2, mechanism, action, property, description
Eszopiclone,Hydromorphone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Eszopiclone
Eszopiclone,Iloperidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Iloperidone is combined with Eszopiclone
Eszopiclone,Imipramine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Imipramine is combined with Eszopiclone
Eszopiclone,Isoflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isoflurane is combined with Eszopiclone
Eszopiclone,Ketamine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketamine is combined with Eszopiclone
Eszopiclone,Ketazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketazolam is combined with Eszopiclone
Eszopiclone,Ketobemidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketobemidone is combined with Eszopiclone
Eszopiclone,Lamotrigine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Eszopiclone
Eszopiclone,Levobupivacaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Eszopiclone
Eszopiclone,Levocetirizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levocetirizine is combined with Eszopiclone
Eszopiclone,Levodopa,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levodopa is combined with Eszopiclone
Eszopiclone,Levomethadylacetate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomethadylacetate is combined with Eszopiclone
Eszopiclone,Levomilnacipran,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomilnacipran is combined with Eszopiclone
Eszopiclone,Lidocaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lidocaine is combined with Eszopiclone
Eszopiclone,Loratadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Loratadine is combined with Eszopiclone
Eszopiclone,Lorazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lorazepam is combined with Eszopiclone
Eszopiclone,Lurasidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lurasidone is combined with Eszopiclone
Eszopiclone,Maprotiline,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Maprotiline is combined with Eszopiclone
Eszopiclone,Meclizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meclizine is combined with Eszopiclone
Eszopiclone,Melatonin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melatonin is combined with Eszopiclone
Eszopiclone,Melperone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melperone is combined with Eszopiclone
Eszopiclone,Meprobamate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meprobamate is combined with Eszopiclone
Eszopiclone,Mesoridazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Mesoridazine is combined with Eszopiclone
Eszopiclone,Methadone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methadone is combined with Eszopiclone
Eszopiclone,Methoxyflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Eszopiclone
Eszopiclone,Methsuximide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methsuximide is combined with Eszopiclone
Eszopiclone,Methylphenobarbital,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Eszopiclone
Eszopiclone,Midazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Midazolam is combined with Eszopiclone
Eszopiclone,Morphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Morphine is combined with Eszopiclone
Etacrynicacid,Ethylmorphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Etacrynicacid
Etacrynicacid,Felodipine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Felodipine is combined with Etacrynicacid
Etacrynicacid,Fentanyl,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fentanyl is combined with Etacrynicacid
Etacrynicacid,Guanfacine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Guanfacine is combined with Etacrynicacid
Etacrynicacid,Halothane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Halothane is combined with Etacrynicacid
Etacrynicacid,Hydralazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydralazine is combined with Etacrynicacid
Etacrynicacid,Hydrocodone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydrocodone is combined with Etacrynicacid
Etacrynicacid,Hydromorphone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Etacrynicacid
Etacrynicacid,Imipramine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Imipramine is combined with Etacrynicacid
Etacrynicacid,Indapamide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Indapamide is combined with Etacrynicacid
Etacrynicacid,Irbesartan,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Irbesartan is combined with Etacrynicacid
Etacrynicacid,Isoflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isoflurane is combined with Etacrynicacid
Etacrynicacid,Isosorbidedinitrate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isosorbidedinitrate is combined with Etacrynicacid
Etacrynicacid,Isosorbidemononitrate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isosorbidemononitrate is combined with Etacrynicacid
Etacrynicacid,Isradipine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isradipine is combined with Etacrynicacid
Etacrynicacid,Ketobemidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketobemidone is combined with Etacrynicacid
Etacrynicacid,Labetalol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Labetalol is combined with Etacrynicacid
Etacrynicacid,Lercanidipine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lercanidipine is combined with Etacrynicacid
Etacrynicacid,Levobupivacaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Etacrynicacid
Etacrynicacid,Levomethadylacetate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomethadylacetate is combined with Etacrynicacid
Etacrynicacid,Losartan,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Losartan is combined with Etacrynicacid
Etacrynicacid,Methadone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methadone is combined with Etacrynicacid
Etacrynicacid,Methazolamide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methazolamide is combined with Etacrynicacid
Etacrynicacid,Methyldopa,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methyldopa is combined with Etacrynicacid
Etacrynicacid,Metoprolol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Metoprolol is combined with Etacrynicacid
Etacrynicacid,Morphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Morphine is combined with Etacrynicacid
Etacrynicacid,Nabilone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Nabilone is combined with Etacrynicacid
Etacrynicacid,Nebivolol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Nebivolol is combined with Etacrynicacid
Etacrynicacid,Nicardipine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Nicardipine is combined with Etacrynicacid
Ethanol,Ezogabine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ezogabine is combined with Ethanol
Ethanol,Fluoxetine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Ethanol
Ethanol,Fluvoxamine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Ethanol
Ethanol,Gliclazide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Gliclazide is combined with Ethanol
Ethanol,Glimepiride,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Glimepiride is combined with Ethanol
Ethanol,Glipizide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Glipizide is combined with Ethanol
Ethanol,Glyburide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Glyburide is combined with Ethanol
Ethanol,Griseofulvin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Griseofulvin is combined with Ethanol
Ethanol,Ketoconazole,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketoconazole is combined with Ethanol
Ethanol,Lisuride,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lisuride is combined with Ethanol
Ethanol,Methylergometrine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methylergometrine is combined with Ethanol
Ethanol,Methylphenidate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methylphenidate is combined with Ethanol
Ethanol,Metronidazole,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Metronidazole is combined with Ethanol
Ethanol,Minaprine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Minaprine is combined with Ethanol
Ethanol,Moclobemide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Moclobemide is combined with Ethanol
Ethanol,Nefazodone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Nefazodone is combined with Ethanol
Ethanol,Niacin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Niacin is combined with Ethanol
Ethopropazine,Ethylmorphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Ethopropazine
Ethopropazine,Fentanyl,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fentanyl is combined with Ethopropazine
Ethopropazine,Fesoterodine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fesoterodine is combined with Ethopropazine
Ethopropazine,Homatropine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Homatropine is combined with Ethopropazine
Ethopropazine,Hydrocodone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydrocodone is combined with Ethopropazine
Ethopropazine,Hydromorphone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Ethopropazine
Ethopropazine,Ipratropiumbromide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ipratropiumbromide is combined with Ethopropazine
Ethopropazine,Ketobemidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketobemidone is combined with Ethopropazine
Ethopropazine,Levomethadylacetate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomethadylacetate is combined with Ethopropazine
Ethopropazine,Methadone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methadone is combined with Ethopropazine
Ethopropazine,Mirabegron,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Mirabegron is combined with Ethopropazine
Ethopropazine,Morphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Morphine is combined with Ethopropazine
Ethosuximide,Ethotoin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ethotoin is combined with Ethosuximide
Ethosuximide,Ethylmorphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Ethosuximide
Ethosuximide,Etizolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Etizolam is combined with Ethosuximide
Ethosuximide,Etomidate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Etomidate is combined with Ethosuximide
Ethosuximide,Ezogabine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ezogabine is combined with Ethosuximide
Ethosuximide,Felbamate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Felbamate is combined with Ethosuximide
Ethosuximide,Fentanyl,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fentanyl is combined with Ethosuximide
Ethosuximide,Fexofenadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fexofenadine is combined with Ethosuximide
Ethosuximide,Flibanserin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flibanserin is combined with Ethosuximide
Ethosuximide,Flunarizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flunarizine is combined with Ethosuximide
Ethosuximide,Flunitrazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Ethosuximide
Ethosuximide,Fluoxetine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Ethosuximide
Ethosuximide,Flupentixol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flupentixol is combined with Ethosuximide
Ethosuximide,Fluphenazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ethosuximide
Ethosuximide,Flurazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flurazepam is combined with Ethosuximide
Ethosuximide,Fluticasonepropionate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluticasonepropionate is combined with Ethosuximide
Ethosuximide,Fospropofol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fospropofol is combined with Ethosuximide
Ethosuximide,Gabapentin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Gabapentin is combined with Ethosuximide
Ethosuximide,Glutethimide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Glutethimide is combined with Ethosuximide
Ethosuximide,Guanfacine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Guanfacine is combined with Ethosuximide
Ethosuximide,Haloperidol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Haloperidol is combined with Ethosuximide
Ethosuximide,Halothane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Halothane is combined with Ethosuximide
Ethosuximide,Hexobarbital,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hexobarbital is combined with Ethosuximide
Ethosuximide,Hydromorphone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Ethosuximide
Ethosuximide,Iloperidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Iloperidone is combined with Ethosuximide
Ethosuximide,Imipramine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Imipramine is combined with Ethosuximide
Ethosuximide,Isoflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isoflurane is combined with Ethosuximide
Ethosuximide,Ketamine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketamine is combined with Ethosuximide
Ethosuximide,Ketazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketazolam is combined with Ethosuximide
Ethosuximide,Ketobemidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketobemidone is combined with Ethosuximide
Ethosuximide,Lamotrigine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Ethosuximide
Ethosuximide,Levobupivacaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Ethosuximide
Ethosuximide,Levocetirizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levocetirizine is combined with Ethosuximide
Ethosuximide,Levodopa,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levodopa is combined with Ethosuximide
Ethosuximide,Levomethadylacetate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomethadylacetate is combined with Ethosuximide
Ethosuximide,Levomilnacipran,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomilnacipran is combined with Ethosuximide
Ethosuximide,Lidocaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lidocaine is combined with Ethosuximide
Ethosuximide,Loratadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Loratadine is combined with Ethosuximide
Ethosuximide,Lorazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lorazepam is combined with Ethosuximide
Ethosuximide,Lurasidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lurasidone is combined with Ethosuximide
Ethosuximide,Maprotiline,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Maprotiline is combined with Ethosuximide
Ethosuximide,Meclizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meclizine is combined with Ethosuximide
Ethosuximide,Melatonin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melatonin is combined with Ethosuximide
Ethosuximide,Melperone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melperone is combined with Ethosuximide
Ethosuximide,Meprobamate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meprobamate is combined with Ethosuximide
Ethosuximide,Mesoridazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Mesoridazine is combined with Ethosuximide
Ethosuximide,Methadone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methadone is combined with Ethosuximide
Ethosuximide,Methoxyflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Ethosuximide
Ethosuximide,Methsuximide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methsuximide is combined with Ethosuximide
Ethosuximide,Methylphenobarbital,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Ethosuximide
Ethosuximide,Midazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Midazolam is combined with Ethosuximide
Ethosuximide,Morphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Morphine is combined with Ethosuximide
Ethotoin,Ethylmorphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Ethotoin
Ethotoin,Etizolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Etizolam is combined with Ethotoin
Ethotoin,Etomidate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Etomidate is combined with Ethotoin
Ethotoin,Ezogabine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ezogabine is combined with Ethotoin
Ethotoin,Felbamate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Felbamate is combined with Ethotoin
Ethotoin,Fentanyl,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fentanyl is combined with Ethotoin
Ethotoin,Fexofenadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fexofenadine is combined with Ethotoin
Ethotoin,Flibanserin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flibanserin is combined with Ethotoin
Ethotoin,Flunarizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flunarizine is combined with Ethotoin
Ethotoin,Flunitrazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Ethotoin
Ethotoin,Fluoxetine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Ethotoin
Ethotoin,Flupentixol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flupentixol is combined with Ethotoin
Ethotoin,Fluphenazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ethotoin
Ethotoin,Flurazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flurazepam is combined with Ethotoin
Ethotoin,Fluticasonepropionate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluticasonepropionate is combined with Ethotoin
Ethotoin,Fluvoxamine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Ethotoin
Ethotoin,Fosphenytoin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fosphenytoin is combined with Ethotoin
Ethotoin,Fospropofol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fospropofol is combined with Ethotoin
Ethotoin,Gabapentin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Gabapentin is combined with Ethotoin
Ethotoin,Glutethimide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Glutethimide is combined with Ethotoin
Ethotoin,Guanfacine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Guanfacine is combined with Ethotoin
Ethotoin,Haloperidol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Haloperidol is combined with Ethotoin
Ethotoin,Halothane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Halothane is combined with Ethotoin
Ethotoin,Hexobarbital,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hexobarbital is combined with Ethotoin
Ethotoin,Hydromorphone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Ethotoin
Ethotoin,Iloperidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Iloperidone is combined with Ethotoin
Ethotoin,Imipramine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Imipramine is combined with Ethotoin
Ethotoin,Isoflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isoflurane is combined with Ethotoin
Ethotoin,Ketamine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketamine is combined with Ethotoin
Ethotoin,Ketazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketazolam is combined with Ethotoin
Ethotoin,Ketobemidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketobemidone is combined with Ethotoin
Ethotoin,Lamotrigine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Ethotoin
Ethotoin,Levobupivacaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Ethotoin
Ethotoin,Levocetirizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levocetirizine is combined with Ethotoin
Ethotoin,Levodopa,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levodopa is combined with Ethotoin
Ethotoin,Levomethadylacetate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomethadylacetate is combined with Ethotoin
Ethotoin,Levomilnacipran,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Levomilnacipran is combined with Ethotoin
Ethotoin,Lidocaine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lidocaine is combined with Ethotoin
Ethotoin,Loratadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Loratadine is combined with Ethotoin
Ethotoin,Lorazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lorazepam is combined with Ethotoin
Ethotoin,Lurasidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Lurasidone is combined with Ethotoin
Ethotoin,Maprotiline,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Maprotiline is combined with Ethotoin
Ethotoin,Meclizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meclizine is combined with Ethotoin
Ethotoin,Melatonin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melatonin is combined with Ethotoin
Ethotoin,Melperone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Melperone is combined with Ethotoin
Ethotoin,Meprobamate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Meprobamate is combined with Ethotoin
Ethotoin,Mesoridazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Mesoridazine is combined with Ethotoin
Ethotoin,Methadone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methadone is combined with Ethotoin
Ethotoin,Methoxyflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Ethotoin
Ethotoin,Methsuximide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methsuximide is combined with Ethotoin
Ethotoin,Methylphenobarbital,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Ethotoin
Ethotoin,Midazolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Midazolam is combined with Ethotoin
Ethotoin,Morphine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Morphine is combined with Ethotoin
Ethotoin,Nefazodone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Nefazodone is combined with Ethotoin
Ethylmorphine,Etizolam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Etizolam is combined with Ethylmorphine
Ethylmorphine,Etomidate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Etomidate is combined with Ethylmorphine
Ethylmorphine,Ezogabine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ezogabine is combined with Ethylmorphine
Ethylmorphine,Felbamate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Felbamate is combined with Ethylmorphine
Ethylmorphine,Fentanyl,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fentanyl is combined with Ethylmorphine
Ethylmorphine,Fesoterodine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fesoterodine is combined with Ethylmorphine
Ethylmorphine,Fexofenadine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fexofenadine is combined with Ethylmorphine
Ethylmorphine,Flibanserin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flibanserin is combined with Ethylmorphine
Ethylmorphine,Flunarizine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flunarizine is combined with Ethylmorphine
Ethylmorphine,Flunitrazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Ethylmorphine
Ethylmorphine,Flupentixol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flupentixol is combined with Ethylmorphine
Ethylmorphine,Fluphenazine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ethylmorphine
Ethylmorphine,Flurazepam,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Flurazepam is combined with Ethylmorphine
Ethylmorphine,Fluticasonepropionate,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fluticasonepropionate is combined with Ethylmorphine
Ethylmorphine,Fospropofol,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Fospropofol is combined with Ethylmorphine
Ethylmorphine,Furosemide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Furosemide is combined with Ethylmorphine
Ethylmorphine,Gabapentin,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Gabapentin is combined with Ethylmorphine
Ethylmorphine,Glutethimide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Glutethimide is combined with Ethylmorphine
Ethylmorphine,Guanfacine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Guanfacine is combined with Ethylmorphine
Ethylmorphine,Halothane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Halothane is combined with Ethylmorphine
Ethylmorphine,Hexobarbital,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hexobarbital is combined with Ethylmorphine
Ethylmorphine,Homatropine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Homatropine is combined with Ethylmorphine
Ethylmorphine,Hydromorphone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Ethylmorphine
Ethylmorphine,Iloperidone,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Iloperidone is combined with Ethylmorphine
Ethylmorphine,Indapamide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Indapamide is combined with Ethylmorphine
Ethylmorphine,Ipratropiumbromide,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ipratropiumbromide is combined with Ethylmorphine
Ethylmorphine,Isoflurane,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Isoflurane is combined with Ethylmorphine
Ethylmorphine,Ketamine,increase,1+2,adverse effects,The risk or severity of adverse effects can be increased when Ketamine is combined with Ethylmorphine
